"","ID","SubOrder","Genus","Species","CommonName","SpName","SpCode","SpeciesID"
"34",34,"CETACEA","Globicephala","spp","Unidentified pilot whale","G spp","034","034"
"35",35,"CETACEA","Globicephala","melas","Long-finned pilot whale","G mel","035","035"
"36",36,"CETACEA","Globicephala","macrorhynchus","Short-finned pilot whale","G mac","036","036"
"37",37,"CETACEA","Orcinus","orca","Killer whale","O orc","037","037"
"38",38,"CETACEA","Sousa","chinensis","Indo-Pacific hump-backed","S chi","038","038"
"39",39,"CETACEA","Sousa","teuszii","Atlantic hump-backed dolphin","S teu","039","039"
"40",40,"CETACEA","Phocoena","phocoena","Harbor porpoise","P pho","040","040"
"41",41,"CETACEA","Phocoena","sinus","Vaquita","P sin","041","041"
"42",42,"CETACEA","Phocoena","spinipinnis","Burmeister's porpoise","P spi","042","042"
"43",43,"CETACEA","Neophocaena","phocaenoides","Black finless porpoise","N pho","043","043"
"44",44,"CETACEA","Phocoenoides","dalli","Dall's porpoise","P dal","044","044"
"45",45,"CETACEA","Delphinapterus","leucas","Beluga or White whale","D leu","045","045"
"46",46,"CETACEA","Physeter","macrocephalus","Sperm whale","P mac","046","046"
"47",47,"CETACEA","Kogia","breviceps","Pygmy sperm whale","K bre","047","047"
"48",48,"CETACEA","Kogia","sima","Dwarf sperm whale","K sim","048","048"
"49",49,"CETACEA","Unid",NA,"Unidentified beaked whale","Unid","049","049"
"50",50,"CETACEA","Hyperoodon","planifrons","Southern bottlenose whale","H pla","050","050"
"51",51,"CETACEA","Mesoplodon","spp","Unidentified Mesoplodon","M spp","051","051"
"52",52,"CETACEA","Mesoplodon","carlhubbsi","Hubb's beaked whale","M car","052","052"
"53",53,"CETACEA","Mesoplodon","hectori","Hector's beaked whale","M hec","053","053"
"54",54,"CETACEA","Mesoplodon","bowdoini","Andrew's beaked whale","M bow","054","054"
"55",55,"CETACEA","Mesoplodon","europaeus","Gervais' beaked whale","M eur","055","055"
"56",56,"CETACEA","Mesoplodon","bidens","Sowerby's beaked whale","M bid","056","056"
"57",57,"CETACEA","Mesoplodon","ginkgodens","Ginkgo-toothed beaked whale","M gin","057","057"
"58",58,"CETACEA","Mesoplodon","grayi","Gray's beaked whale","M gra","058","058"
"59",59,"CETACEA","Mesoplodon","densirostris","Blaineville's beaked whale","M den","059","059"
"60",60,"CETACEA","Mesoplodon","layardii","Strap-toothed whale","M lay","060","060"
"61",61,"CETACEA","Ziphius","cavirostris","Cuvier's beaked whale","Z cav","061","061"
"62",62,"CETACEA","Berardius","arnuxii","Arnoux's beaked whale","B arn","062","062"
"63",63,"CETACEA","Berardius","bairdii","Baird's beaked whale","B bai","063","063"
"64",64,"CETACEA","Tasmacetus","shepherdi","Sheperd's beaked whale","T she","064","064"
"65",65,"CETACEA","Indopacetus","pacificus","Longman's beaked whale","I pac","065","065"
"66",66,"CETACEA","Eubalaena","japonica","North Pacific right whale","E jap","066","066"
"67",67,"CETACEA","Balaena","mysticetus","Bowhead whale","B mys","067","067"
"68",68,"CETACEA","Caperea","marginata","Pygmy right whale","C mar","068","068"
"69",69,"CETACEA","Eschrichtius","robustus","Gray whale","E rob","069","069"
"70",70,"CETACEA","Balaenoptera","spp","Unidentified Rorqual","B spp","070","070"
"71",71,"CETACEA","Balaenoptera","acutorostrata","Minke whale","B acu","071","071"
"72",72,"CETACEA","Balaenoptera","edeni","Bryde's whale","B ede","072","072"
"73",73,"CETACEA","Balaenoptera","borealis","Sei whale","B bor","073","073"
"74",74,"CETACEA","Balaenoptera","physalus","Fin whale","B phy","074","074"
"75",75,"CETACEA","Balaenoptera","musculus","Blue whale","B mus","075","075"
"76",76,"CETACEA","Megaptera","novaeangliae","Humpback whale","M nov","076","076"
"77",77,"CETACEA","Unid",NA,"Unidentified dolphin or porpoise","Unid","077","077"
"78",78,"CETACEA","Unid",NA,"Unidentified small whale","Unid","078","078"
"79",79,"CETACEA","Unid",NA,"Unidentified large whale","Unid","079","079"
"80",80,"CETACEA","Kogia","spp","Unidentified Kogia","K spp","080","080"
"81",81,"CETACEA","Mesoplodon","stejnegeri","Stejneger's beaked whale","M ste","081","081"
"82",82,"CETACEA","Mesoplodon","mirus","True's beaked whale","M mir","082","082"
"83",83,"CETACEA","Mesoplodon","spp","Unnamed beaked whale","M spp","083","083"
"84",84,"CETACEA","Hyperoodon","ampullatus","Northern bottlenose whale","H amp","084","084"
"85",85,"CETACEA","Monodon","monoceros","Narwhal","M mon","085","085"
"86",86,"CETACEA","Eubalaena","australis","Southern right whale","E aus","086","086"
