Specimen,Skull_RostralLength,Skull_ZygomaticWidth,MeasureDate,MeasureBy,LGTHROW_U,LGTHROW_L,N_Total_Vertebrae,N_Cervical_Vetebrae,N_Thoracic_Vetebrae,N_Lumbar_Vetebrae,N_Caudal_Vetebrae,N_Ribs,N_DoubleHead,N_SingleHead,N_Chevron,N_Teeth_UpperL,N_Teeth_LowerL,N_Teeth_UpperR,N_Teeth_LowerR,EditDate,EditUser,RecordCreationDate
DSJ2163             ,30.5,18.8999996185303,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.39,Susan.Chivers,2017-09-14 12:51:21.39
DSJ2172             ,27.2000007629395,17,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.397,Susan.Chivers,2017-09-14 12:51:21.397
DSJ2184             ,29,18.5,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.4,Susan.Chivers,2017-09-14 12:51:21.4
GCF0001,NA,NA,NA,NA,NA,NA,NA,7,15,19,39,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.393,Susan.Chivers,2017-09-14 12:43:48.393
GCF0002,NA,NA,NA,NA,NA,NA,NA,7,15,22,34,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.397,Susan.Chivers,2017-09-14 12:43:48.397
GCF0006,NA,NA,NA,NA,NA,NA,NA,7,15,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.403,Susan.Chivers,2017-09-14 12:43:48.403
GCF0007,NA,NA,NA,NA,NA,NA,NA,NA,16,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.407,Susan.Chivers,2017-09-14 12:43:48.407
GCF0008,NA,NA,NA,NA,NA,NA,NA,7,16,18,38,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.41,Susan.Chivers,2017-09-14 12:43:48.41
GCF0009,NA,NA,NA,NA,NA,NA,NA,7,19,17,38,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.413,Susan.Chivers,2017-09-14 12:43:48.413
GCF0011,NA,NA,NA,NA,NA,NA,NA,NA,15,21,33,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.42,Susan.Chivers,2017-09-14 12:43:48.42
GCF0012,NA,NA,NA,NA,NA,NA,NA,7,16,19,38,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.423,Susan.Chivers,2017-09-14 12:43:48.423
GCF0013,NA,NA,NA,NA,NA,NA,NA,7,16,19,38,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.427,Susan.Chivers,2017-09-14 12:43:48.427
HJB0001,NA,NA,NA,NA,NA,NA,NA,7,14,22,34,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.43,Susan.Chivers,2017-09-14 12:43:48.43
HJB0004,NA,NA,NA,NA,NA,NA,NA,7,13,23,33,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.437,Susan.Chivers,2017-09-14 12:43:48.437
HJB0008,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.44,Susan.Chivers,2017-09-14 12:43:48.44
HJB0031             ,31.2000007629395,17.5,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.407,Susan.Chivers,2017-09-14 12:51:21.407
HJB0040,NA,NA,NA,NA,NA,NA,NA,7,13,16,17,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.443,Susan.Chivers,2017-09-14 12:43:48.443
HJB0049             ,30.1000003814697,18.5,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.41,Susan.Chivers,2017-09-14 12:51:21.41
JBN0005,NA,NA,NA,NA,NA,NA,NA,7,16,20,37,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.447,Susan.Chivers,2017-09-14 12:43:48.447
