ID,Specimen,GonadTypeID,Side,IsDry,DryBox,CurateDate,EditDate,EditUser,RecordCreationDate
268,BXR0578,1,L,Y,NA,NA,2019-05-28 10:35:44.637,Kerri.Danil,NA
269,BXR0583,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
270,BXR0584,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
271,BXR0585,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
272,BXR0586,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
273,BXR0587,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
274,BXR0590,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
275,BXR0611,1,L,Y,14,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
276,CAC0004,1,L,Y,6,2012-05-30,2017-10-25 11:30:37.323,Susan.Chivers,NA
277,CAC0056,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
278,CAC0063,1,L,Y,6,2012-05-30,2017-10-25 11:30:37.323,Susan.Chivers,NA
279,CAC0092,1,L,Y,3,2012-05-30,2017-10-25 11:30:37.323,Susan.Chivers,NA
280,CAC0097,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
281,CAC0112,1,L,Y,3,2012-05-30,2017-10-25 11:30:37.323,Susan.Chivers,NA
282,CAC0132,1,L,Y,3,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
283,CAC0136,1,L,Y,3,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
284,CAC0139,1,L,Y,3,2012-05-30,2017-10-25 11:30:37.323,Susan.Chivers,NA
