ID,Specimen,CollectionID,AccessionNumber,EditDate,EditUser,RecordCreationDate
1605,MXS0005,2,054999,2017-11-07 14:01:14.87,NA,2017-11-07 14:01:14.87
1606,MXS0002,2,054998,2017-11-07 14:01:15.09,NA,2017-11-07 14:01:15.09
1607,MXS0001,2,054997,2017-11-07 14:01:15.31,NA,2017-11-07 14:01:15.31
1608,MWB0005,2,054996,2017-11-07 14:01:15.55,NA,2017-11-07 14:01:15.55
1609,WOK0036,2,072143,2017-11-07 14:01:15.78,NA,2017-11-07 14:01:15.78
1610,SWM0037,2,072105,2017-11-07 14:01:16.033,NA,2017-11-07 14:01:16.033
1611,BDJ0008,2,054947,2017-11-07 14:01:16.253,NA,2017-11-07 14:01:16.253
1612,GSS0005,2,054958,2017-11-07 14:01:16.477,NA,2017-11-07 14:01:16.477
1613,GSS0004,2,054957,2017-11-07 14:01:16.697,NA,2017-11-07 14:01:16.697
1614,DJT0033,2,054956,2017-11-07 14:01:16.913,NA,2017-11-07 14:01:16.913
1615,DJT0031,2,054955,2017-11-07 14:01:17.137,NA,2017-11-07 14:01:17.137
1616,DJT0029,2,054954,2017-11-07 14:01:17.36,NA,2017-11-07 14:01:17.36
1617,DJT0026,2,054953,2017-11-07 14:01:17.58,NA,2017-11-07 14:01:17.58
1618,BKL0148,2,054952,2017-11-07 14:01:17.793,NA,2017-11-07 14:01:17.793
1619,BKL0147,2,054951,2017-11-07 14:01:18.02,NA,2017-11-07 14:01:18.02
1620,BKL0146,2,054950,2017-11-07 14:01:18.24,NA,2017-11-07 14:01:18.24
1621,TRK0208,2,072303,2017-11-07 14:01:18.463,NA,2017-11-07 14:01:18.463
1622,BKL0144,2,054948,2017-11-07 14:01:18.69,NA,2017-11-07 14:01:18.69
1623,JEK0035,2,054961,2017-11-07 14:01:18.92,NA,2017-11-07 14:01:18.92
1624,BDJ0007,2,054946,2017-11-07 14:01:19.14,NA,2017-11-07 14:01:19.14
1625,BDJ0006,2,054945,2017-11-07 14:01:19.36,NA,2017-11-07 14:01:19.36
1626,BDJ0005,2,054944,2017-11-07 14:01:19.587,NA,2017-11-07 14:01:19.587
1627,BDJ0004,2,054943,2017-11-07 14:01:19.817,NA,2017-11-07 14:01:19.817
1628,BDJ0003,2,054942,2017-11-07 14:01:20.04,NA,2017-11-07 14:01:20.04
1629,BDJ0002,2,054941,2017-11-07 14:01:20.26,NA,2017-11-07 14:01:20.26
1630,WOK0034,2,072141,2017-11-07 14:01:20.483,NA,2017-11-07 14:01:20.483
1631,TRK0218,2,072140,2017-11-07 14:01:20.703,NA,2017-11-07 14:01:20.703
1632,TRK0217,2,072139,2017-11-07 14:01:20.927,NA,2017-11-07 14:01:20.927
1633,BKL0145,2,054949,2017-11-07 14:01:21.153,NA,2017-11-07 14:01:21.153
1634,RDS0006,2,054972,2017-11-07 14:01:21.377,NA,2017-11-07 14:01:21.377
1635,WOK0035,2,072142,2017-11-07 14:01:21.6,NA,2017-11-07 14:01:21.6
1636,DAV0050,2,072555,2017-11-07 14:01:21.82,NA,2017-11-07 14:01:21.82
1637,PCS0033,2,072302,2017-11-07 14:01:22.047,NA,2017-11-07 14:01:22.047
1638,BDJ0009,2,072301,2017-11-07 14:01:22.263,NA,2017-11-07 14:01:22.263
1639,WJS0007,2,054979,2017-11-07 14:01:22.5,NA,2017-11-07 14:01:22.5
1640,WHO0004,2,054978,2017-11-07 14:01:22.72,NA,2017-11-07 14:01:22.72
1641,WHO0003,2,054977,2017-11-07 14:01:22.94,NA,2017-11-07 14:01:22.94
1642,SER0027,2,054976,2017-11-07 14:01:23.16,NA,2017-11-07 14:01:23.16
1643,SER0026,2,054975,2017-11-07 14:01:23.387,NA,2017-11-07 14:01:23.387
1644,JEK0032,2,054959,2017-11-07 14:01:23.63,NA,2017-11-07 14:01:23.63
1645,RDS0007,2,054973,2017-11-07 14:01:23.853,NA,2017-11-07 14:01:23.853
1646,JEK0033,2,054960,2017-11-07 14:01:24.073,NA,2017-11-07 14:01:24.073
1647,RDS0005,2,054971,2017-11-07 14:01:24.293,NA,2017-11-07 14:01:24.293
1648,RDS0004,2,054970,2017-11-07 14:01:24.517,NA,2017-11-07 14:01:24.517
1649,RDS0003,2,054969,2017-11-07 14:01:24.74,NA,2017-11-07 14:01:24.74
1650,RDP0116,2,054968,2017-11-07 14:01:24.967,NA,2017-11-07 14:01:24.967
1651,RDP0115,2,054967,2017-11-07 14:01:25.193,NA,2017-11-07 14:01:25.193
1652,RDP0114,2,054966,2017-11-07 14:01:25.423,NA,2017-11-07 14:01:25.423
1653,RDP0098,2,054965,2017-11-07 14:01:25.647,NA,2017-11-07 14:01:25.647
