ID,Specimen,Age,IsAnalysisQuality,EstimationMethod,AgeReader1,ReaderID1,AgeReader2,ReaderID2,AgeReader3,ReaderID3,AgeReader4,ReaderID4,EditDate,EditUser,RecordCreationDate
11851,TCF0019,4,Y,Mean: ReaderID_1 & 2,4,6,4,9,6.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11852,TCF0020,9.8,Y,NA,9.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11853,TCF0022,13.25,Y,Mean: ReaderID_1 & 2,12,6,14.5,9,9.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11854,TCF0023,10.9,Y,NA,10.9,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11855,TCF0024,6.8,Y,NA,6.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11856,TCF0025,4.6,Y,NA,4.6,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11857,TCF0026,11.7,Y,NA,11.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11858,TCF0027,12.7,Y,NA,12.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11859,TCF0028,6.7,Y,NA,6.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11860,TCF0029,13.9,Y,NA,13.9,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11861,TCF0030,14.9,Y,NA,14.9,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11862,TCF0031,7.8,Y,NA,7.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
